Measure,litter,l,Alpha,Beta
CM,Alfalfa,1,32.47014,224578
CM,Alfalfa,2,32.47014,143984.6
CM,Ash,1,32.47014,647730.9248
CM,Ash,2,32.47014,405229.846
CM,Bluestem,1,32.47014,851762.0129
CM,Bluestem,2,32.47014,533573.4803
CM,Oak,1,32.47014,639281.5019
CM,Oak,2,32.47014,432188.7933
CM,Pine,1,32.47,1054127.00
CM,Pine,2,32.47,832887.6
C6,Alfalfa,1,32.47014,17281.14
C6,Alfalfa,2,32.47014,1146.775
C6,Alfalfa,3,32.47014,897.5245
C6,Alfalfa,4,32.47014,408.9001
C6,Alfalfa,5,32.47014,65.11153
C6,Ash,1,32.47014,12161.9359
C6,Ash,2,32.47014,6007.33955
C6,Ash,3,32.47014,9129.25272
C6,Ash,4,32.47014,4166.74363
C6,Ash,5,32.47014,1261.72998
C6,Bluestem,1,32.47014,6087.08279
C6,Bluestem,2,32.47014,3492.92685
C6,Bluestem,3,32.47014,7659.75385
C6,Bluestem,4,32.47014,5743.15027
C6,Bluestem,5,32.47014,3193.43505
C6,Oak,1,32.47014,7458.49384
C6,Oak,2,32.47014,6332.13188
C6,Oak,3,32.47014,3358.9682
C6,Oak,4,32.47014,1877.60333
C6,Oak,5,32.47014,747.12312
C6,Pine,1,32.47014,2681.85531
C6,Pine,2,32.47014,2224.94562
C6,Pine,3,32.47014,1507.20869
C6,Pine,4,32.47014,759.42483
C6,Pine,5,32.47014,218.49452
C7,Alfalfa,1,32.47014,29275.95819
C7,Alfalfa,2,32.47014,12891.69038
C7,Alfalfa,3,32.47014,14336.16374
C7,Alfalfa,4,32.47014,13993.63875
C7,Alfalfa,5,32.47014,9916.216
C7,Alfalfa,6,32.47014,14207.60837
C7,Ash,1,32.47014,20064.55177
C7,Ash,2,32.47014,13579.89234
C7,Ash,3,32.47014,24282.42495
C7,Ash,4,32.47014,21973.67094
C7,Ash,5,32.47014,23325.34477
C7,Ash,6,32.47014,29934.9213
C7,Bluestem,1,32.47014,11437.98468
C7,Bluestem,2,32.47014,7071.93834
C7,Bluestem,3,32.47014,9744.03715
C7,Bluestem,4,32.47014,35338.87958
C7,Bluestem,5,32.47014,18065.02866
C7,Bluestem,6,32.47014,20576.84987
C7,Oak,1,32.47014,26749.16586
C7,Oak,2,32.47014,38315.85096
C7,Oak,3,32.47014,33116.19116
C7,Oak,4,32.47014,37372.03506
C7,Oak,5,32.47014,27164.59504
C7,Oak,6,32.47014,30967.03667
C7,Pine,1,32.47014,13526.06673
C7,Pine,2,32.47014,10961.463
C7,Pine,3,32.47014,14674.34713
C7,Pine,4,32.47014,18061.93835
C7,Pine,5,32.47014,16651.19311
C7,Pine,6,32.47014,18648.67731
