Initial_day_A,Final_day_A,Alfalfa,Initial_day,Final_day,Ash,Bluestem,Oak,Pine
0,1,200,0,1,80,100,100,100
1,2,1600,1,4,400,300,800,300
2,4,1600,4,7,300,250,800,400
4,6,1600,7,10,400,300,800,300
6,7,300,10,15,400,400,800,450
7,9,300,15,20,400,300,800,300
9,10,300,20,28,200,400,900,100
10,13,300,28,39,400,500,800,500
13,15,300,39,49,400,500,800,500
15,18,300,49,64,600,950,800,200
18,20,300,64,76,400,500,800,500
20,28,300,76,95,400,900,600,600
28,39,300,95,118,400,500,800,500
39,49,300,118,152,400,600,800,600
49,64,300,152,181,600,600,800,600
64,76,300,181,228,400,600,800,600
76,95,300,228,284,400,600,800,600
95,118,300,284,365,300,1000,800,1000
118,152,300,,,,,,
152,181,300,,,,,,
181,228,300,,,,,,
228,284,300,,,,,,
284,365,300,,,,,,
